Timestamp,Opponent,ReactionMS,Status
18:32:44,Vergil,0,FALSE START
18:32:47,Vergil,0,WIN
18:32:55,Vergil,0,FALSE START
18:32:57,Vergil,0,WIN
18:33:24,Vergil,0,FALSE START
18:33:30,Vergil,0,WIN
18:33:33,Vergil,1,WIN
18:33:38,Vergil,0,FALSE START
18:33:40,Vergil,0,WIN
18:33:48,Vergil,0,FALSE START
18:33:50,Vergil,0,WIN
18:34:07,Vergil,0,FALSE START
18:34:10,Vergil,0,WIN
18:34:12,Vergil,0,WIN
11:28:29,Vergil,430,WIN
11:28:53,Vergil,901,LOSS
11:29:14,Vergil,1009,WIN
11:29:28,Vergil,511,LOSS
11:29:57,Vergil,1606,WIN
11:31:09,Vergil,1603,WIN
11:32:06,Vergil,503,WIN
11:32:31,Vergil,455,LOSS
11:32:42,Vergil,0,WIN
11:32:54,Vergil,611,WIN
